HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Year
France , Yugoslavia,4,5,1960
Czechoslovakia , Soviet Union,0,3,1960
Czechoslovakia , France,2,0,1960
Soviet Union , Yugoslavia,2,1,1960
Spain , Hungary,2,1,1964
Denmark , Soviet Union,0,3,1964
Hungary , Denmark,3,1,1964
Spain , Soviet Union,2,1,1964
Italy , Soviet Union,0,0,1968
Yugoslavia , England,1,0,1968
England , Soviet Union,2,0,1968
Italy , Yugoslavia,1,1,1968
Italy , Yugoslavia,2,0,1968
Hungary , Soviet Union,0,1,1972
Belgium , West Germany,1,2,1972
Hungary , Belgium,1,2,1972
West Germany , Soviet Union,3,0,1972
Czechoslovakia , Netherlands,3,1,1976
Yugoslavia , West Germany,2,4,1976
Netherlands , Yugoslavia,3,2,1976
Czechoslovakia , West Germany,2,2,1976
Czechoslovakia , West Germany,0,1,1980
Netherlands , Greece,1,0,1980
West Germany , Netherlands,3,2,1980
Greece , Czechoslovakia,1,3,1980
Netherlands , Czechoslovakia,1,1,1980
Greece , West Germany,0,0,1980
Belgium , England,1,1,1980
Spain , Italy,0,0,1980
Belgium , Spain,2,1,1980
England , Italy,0,1,1980
Spain , England,1,2,1980
Italy , Belgium,0,0,1980
Czechoslovakia , Italy,1,1,1980
Belgium , West Germany,1,2,1980
France , Denmark,1,0,1984
Belgium , Yugoslavia,2,0,1984
France , Belgium,5,0,1984
Denmark , Yugoslavia,5,0,1984
France , Yugoslavia,3,2,1984
Denmark , Belgium,3,2,1984
West Germany , Portugal,0,0,1984
Romania , Spain,1,1,1984
West Germany , Romania,2,1,1984
Portugal , Spain,1,1,1984
West Germany , Spain,0,1,1984
Portugal , Romania,1,0,1984
France , Portugal,3,2,1984
Denmark , Spain,1,1,1984
France , Spain,2,0,1984
West Germany , Italy,1,1,1988
Denmark , Spain,2,3,1988
West Germany , Denmark,2,0,1988
Italy , Spain,1,0,1988
West Germany , Spain,2,0,1988
Italy , Denmark,2,0,1988
England , Republic of Ireland,0,1,1988
Netherlands , Soviet Union,0,1,1988
